Time in seconds since UTC 1/1/70:	919306472
FISIHED    Time in seconds since UTC 1/1/70:	919306475
Time in seconds since UTC 1/1/70:	919306514
FISIHED    Time in seconds since UTC 1/1/70:	919306518
Time in seconds since UTC 1/1/70:	919306555
FISIHED    Time in seconds since UTC 1/1/70:	919306559
Time in seconds since UTC 1/1/70:	919306597
FISIHED    Time in seconds since UTC 1/1/70:	919306601
